sheet,row,col,address,value,formula
"LABOR- SHELL ROLL, CS",19,4,D19,"480""",
"LABOR- SHELL ROLL, CS",19,6,F19,5,
"LABOR- SHELL ROLL, CS",19,7,G19,1,
"LABOR- SHELL ROLL, CS",19,8,H19,1,
"LABOR- SHELL ROLL, CS",19,9,I19,1,
"LABOR- SHELL ROLL, CS",19,10,J19,8,=SUM(F19:I19)
"LABOR- SHELL ROLL, CS",19,12,L19,6,=F19+(1*C19)
"LABOR- SHELL ROLL, CS",19,13,M19,1,
"LABOR- SHELL ROLL, CS",19,14,N19,1,
"LABOR- SHELL ROLL, CS",19,15,O19,1,
"LABOR- SHELL ROLL, CS",19,16,P19,9,=SUM(L19:O19)
"LABOR- SHELL ROLL, CS",19,18,R19,6.5,=F19+(1.5*C19)
"LABOR- SHELL ROLL, CS",19,19,S19,1.5,
"LABOR- SHELL ROLL, CS",19,20,T19,1,
"LABOR- SHELL ROLL, CS",19,21,U19,1.5,
"LABOR- SHELL ROLL, CS",19,22,V19,10.5,=SUM(R19:U19)
"LABOR- SHELL ROLL, CS",19,24,X19,8.5,=F19+(3.5*C19)
"LABOR- SHELL ROLL, CS",19,25,Y19,2,
"LABOR- SHELL ROLL, CS",19,26,Z19,1,
"LABOR- SHELL ROLL, CS",19,27,AA19,2,
"LABOR- SHELL ROLL, CS",19,28,AB19,13.5,=SUM(X19:AA19)
"LABOR- SHELL ROLL, CS",20,1,A20,"FROM 12'-1"" TO 12'-6""",
"LABOR- SHELL ROLL, CS",20,2,B20,"FROM 145"" TO 150""",
"LABOR- SHELL ROLL, CS",20,3,C20,1,
"LABOR- SHELL ROLL, CS",20,4,D20,"480""",
"LABOR- SHELL ROLL, CS",20,6,F20,5,
"LABOR- SHELL ROLL, CS",20,7,G20,1,
"LABOR- SHELL ROLL, CS",20,8,H20,1.5,
"LABOR- SHELL ROLL, CS",20,9,I20,1,
"LABOR- SHELL ROLL, CS",20,10,J20,8.5,=SUM(F20:I20)
"LABOR- SHELL ROLL, CS",20,12,L20,6,=F20+(1*C20)
"LABOR- SHELL ROLL, CS",20,13,M20,1,
"LABOR- SHELL ROLL, CS",20,14,N20,1.5,
"LABOR- SHELL ROLL, CS",20,15,O20,1,
"LABOR- SHELL ROLL, CS",20,16,P20,9.5,=SUM(L20:O20)
"LABOR- SHELL ROLL, CS",20,18,R20,6.5,=F20+(1.5*C20)
"LABOR- SHELL ROLL, CS",20,19,S20,1.5,
"LABOR- SHELL ROLL, CS",20,20,T20,1.5,
"LABOR- SHELL ROLL, CS",20,21,U20,1.5,
"LABOR- SHELL ROLL, CS",20,22,V20,11,=SUM(R20:U20)
"LABOR- SHELL ROLL, CS",20,24,X20,8.5,=F20+(3.5*C20)
