sheet,row,col,address,value,formula
"TANK DESIGN, API",15,15,O15,BAFFLES,
"TANK DESIGN, API",15,16,P15,4,
"TANK DESIGN, API",15,17,Q15,"1/4"" X "" X "" ",
"TANK DESIGN, API",15,18,R15,SA240-316/316L,
"TANK DESIGN, API",16,1,A16,BAFFLE SUPPORTS,
"TANK DESIGN, API",16,2,B16,16,
"TANK DESIGN, API",16,3,C16,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
"TANK DESIGN, API",16,4,D16,SA36,
"TANK DESIGN, API",16,8,H16,BAFFLE SUPPORTS,
"TANK DESIGN, API",16,9,I16,16,
"TANK DESIGN, API",16,10,J16,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
"TANK DESIGN, API",16,11,K16,SA240-304/304L,
"TANK DESIGN, API",16,15,O16,BAFFLE SUPPORTS,
"TANK DESIGN, API",16,16,P16,16,
"TANK DESIGN, API",16,17,Q16,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
"TANK DESIGN, API",16,18,R16,SA240-316/316L,
"TANK DESIGN, API",19,6,F19,"Standard template for AME Tank Calculations
Choose which section based on MOC",
"TANK DESIGN, API",29,6,F29,c,
"TANK DESIGN, API",40,1,A40,TOC,
