sheet,row,col,address,value,formula
"TANK DESIGN, ASME",14,2,B14,4,
"TANK DESIGN, ASME",14,3,C14,"W10 X 33 X "" ",
"TANK DESIGN, ASME",14,4,D14,SA36,
"TANK DESIGN, ASME",14,8,H14,BEAM LEGS,
"TANK DESIGN, ASME",14,9,I14,4,
"TANK DESIGN, ASME",14,10,J14,"W10 X 33 X "" ",
"TANK DESIGN, ASME",14,11,K14,SA240-304/304L,
"TANK DESIGN, ASME",14,15,O14,BEAM LEGS,
"TANK DESIGN, ASME",14,16,P14,4,
"TANK DESIGN, ASME",14,17,Q14,"W10 X 33 X "" ",
"TANK DESIGN, ASME",14,18,R14,SA240-304/304L,
"TANK DESIGN, ASME",15,1,A15,PIPE LEGS,
"TANK DESIGN, ASME",15,2,B15,4,
"TANK DESIGN, ASME",15,3,C15,"6"" SCH 40 X "" ",
"TANK DESIGN, ASME",15,4,D15,SA36,
"TANK DESIGN, ASME",15,8,H15,PIPE LEGS,
"TANK DESIGN, ASME",15,9,I15,4,
"TANK DESIGN, ASME",15,10,J15,"6"" SCH 40 X "" ",
"TANK DESIGN, ASME",15,11,K15,SA240-304/304L,
"TANK DESIGN, ASME",15,15,O15,PIPE LEGS,
"TANK DESIGN, ASME",15,16,P15,4,
"TANK DESIGN, ASME",15,17,Q15,"6"" SCH 40 X "" ",
"TANK DESIGN, ASME",15,18,R15,SA240-304/304L,
"TANK DESIGN, ASME",16,1,A16,BASE PLATES,
"TANK DESIGN, ASME",16,2,B16,4,
"TANK DESIGN, ASME",16,3,C16,"1/2"" X 6"" X 6"" ",
"TANK DESIGN, ASME",16,4,D16,SA36,
"TANK DESIGN, ASME",16,8,H16,BASE PLATES,
"TANK DESIGN, ASME",16,9,I16,4,
"TANK DESIGN, ASME",16,10,J16,"1/2"" X 6"" X 6"" ",
"TANK DESIGN, ASME",16,11,K16,SA240-304/304L,
"TANK DESIGN, ASME",16,15,O16,BASE PLATES,
"TANK DESIGN, ASME",16,16,P16,4,
"TANK DESIGN, ASME",16,17,Q16,"1/2"" X 6"" X 6"" ",
"TANK DESIGN, ASME",16,18,R16,SA240-304/304L,
"TANK DESIGN, ASME",18,1,A18,BAFFLES,
"TANK DESIGN, ASME",18,2,B18,4,
"TANK DESIGN, ASME",18,3,C18,"1/4"" X "" X "" ",
"TANK DESIGN, ASME",18,4,D18,SA516-70,
"TANK DESIGN, ASME",18,8,H18,BAFFLES,
"TANK DESIGN, ASME",18,9,I18,4,
"TANK DESIGN, ASME",18,10,J18,"1/4"" X "" X "" ",
"TANK DESIGN, ASME",18,11,K18,SA240-304/304L,
"TANK DESIGN, ASME",18,15,O18,BAFFLES,
"TANK DESIGN, ASME",18,16,P18,4,
"TANK DESIGN, ASME",18,17,Q18,"1/4"" X "" X "" ",
"TANK DESIGN, ASME",18,18,R18,SA240-316/316L,
"TANK DESIGN, ASME",19,1,A19,BAFFLE SUPPORTS,
"TANK DESIGN, ASME",19,2,B19,16,
"TANK DESIGN, ASME",19,3,C19,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
"TANK DESIGN, ASME",19,4,D19,SA516-70,
"TANK DESIGN, ASME",19,8,H19,BAFFLE SUPPORTS,
"TANK DESIGN, ASME",19,9,I19,16,
"TANK DESIGN, ASME",19,10,J19,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
"TANK DESIGN, ASME",19,11,K19,SA240-304/304L,
"TANK DESIGN, ASME",19,15,O19,BAFFLE SUPPORTS,
"TANK DESIGN, ASME",19,16,P19,16,
"TANK DESIGN, ASME",19,17,Q19,"1/4"" X 2"" X 24""  MF: BAFFLE DROP",
"TANK DESIGN, ASME",19,18,R19,SA240-316/316L,
"TANK DESIGN, ASME",27,6,F27,"Most common ASME Compress Vessel
Choose section by MOC",
"TANK DESIGN, ASME",41,1,A41,TOC,
